Store ID,ADDRESS,ADDRESS 2,CITY,WAREHOUSEID,STATE and PIN,Lat,Long
100006881,,8616 CALIFORNIA ST ,RIVERSIDE,XXXXX,CA,33.9352492,117.4348252
100009149,,8616 CALIFORNIA AVE ,RIVERSIDE,XXXXX,CA,33.9352492,117.4348252
140002458,,15055 MULBERRY DR ,WHITTIER,XXXXX,CA,33.9356329,118.0101001
140003444,,8626 FIRESTONE BLVD ,DOWNEY,XXXXX,CA,33.9359952,118.1271349
200000884,,6363 VALLEY SPRINGS PKWY ,RIVERSIDE,XXXXX,CA,33.9361277,117.2888621
140043810,,12721 MORENO BEACH DR ,MORENO VALLEY,XXXXX,CA,33.9366012,117.1824093
140028973,,5200 VAN BUREN BLVD ,RIVERSIDE,XXXXX,CA,33.9371558,117.4554553
100009102,,10801 S PRAIRIE AVE ,INGLEWOOD,XXXXX,CA,33.9375742,118.3448251
140044933,,23857 SUNNYMEAD BLVD ,MORENO VALLEY,XXXXX,CA,33.9375856,117.2464842
140012645,,10621 CARMENITA RD ,SANTA FE SPRINGS,XXXXX,CA,33.9378224,118.0481685
140045691,,27100 EUCALYPTUS AVE ,MORENO VALLEY,XXXXX,CA,33.9381355,117.1893371
100023592,,6250 VALLEY SPRINGS PKWY ,RIVERSIDE,XXXXX,CA,33.9384322,117.2861652
140002449,,1800 W WHITTIER BLVD ,LA HABRA,XXXXX,CA,33.9384575,117.9664436
140041237,,2755 CANYON SPGS PKWY ,RIVERSIDE,XXXXX,CA,33.938665,117.2824913
140001827,,24831 SUNNYMEAD BLVD ,MORENO VALLEY,XXXXX,CA,33.9390562,117.2293434
140039556,,10531 S CARMENITA ,SANTA FE SPRINGS,XXXXX,CA,33.9391652,118.0482499
140047518,,10531 CARMENITA RD ,SANTA FE SPRINGS,XXXXX,CA,33.9391652,118.0482499
140031134,,1201 W WHITTIER BLVD ,MONTEBELLO,XXXXX,CA,33.9394464,117.9595433
140001720,,851 N HARBOR BLVD ,LA HABRA,XXXXX,CA,33.939982,117.9343282
140028116,,2663 CANYON SPGS PKWY ,RIVERSIDE,XXXXX,CA,33.9402486,117.2839609
140012526,,1305 W WHITTER BLVD ,LA HABRA,XXXXX,CA,33.940339,117.9603212
140039498,,13310 TELEGRAPH RD ,SANTA FE SPRINGS,XXXXX,CA,33.9407135,118.0497119
140010436,,15740 LA FORGE ST ,WHITTIER,XXXXX,CA,33.9409551,117.994277
140002824,,13413 TELEGRAPH RD ,WHITTIER,XXXXX,CA,33.9412148,118.0449097
140001738,,14212 MULBERRY DR ,WHITTIER,XXXXX,CA,33.9413707,118.0278488
100001491,,2744 CANYON SPRINGS PKWY ,RIVERSIDE,XXXXX,CA,33.9414981,117.2803836
100072480,,5800 VAN BUREN BLVD ,RIVERSIDE,XXXXX,CA,33.9419796,117.4551853
140043661,,15614 WHITTWOOD LN ,WHITTIER,XXXXX,CA,33.9429197,117.9967419
140026235,,10211 AVALON BLVD ,LOS ANGELES,XXXXX,CA,33.9431958,118.266732
140002724,,12200 PERRIS BLVD ,MORENO VALLEY,XXXXX,CA,33.9439457,117.2246957
140001744,,7814 FIRESTONE BLVD ,DOWNEY,XXXXX,CA,33.9439647,118.1419832
200885260,,10240 GEARY AVE ,SANTA FE SPRINGS,XXXXX,CA,33.9440976,118.0744402
140002781,,3200 W CENTURY BLVD ,INGLEWOOD,XXXXX,CA,33.9442333,118.3281129
140002440,,4155 TWEEDY BLVD ,SOUTH GATE,XXXXX,CA,33.9443046,118.1991138
140018429,,5202 ARLINGTON AVE ,RIVERSIDE,XXXXX,CA,33.9444932,117.4159
140005021,,10100 S CRENSHAW BLVD ,INGLEWOOD,XXXXX,CA,33.9447217,118.3258303
140002743,,1651 E 103RD ST ,LOS ANGELES,XXXXX,CA,33.9448082,118.2448047
140006295,,14200 PALM DR ,DESERT HOT SPRINGS,XXXXX,CA,33.9453983,116.4999696
140002438,,7676 FIRESTONE BLVD ,DOWNEY,XXXXX,CA,33.9455757,118.144543
140001792,,6160 ARLINGTON AVE ,RIVERSIDE,XXXXX,CA,33.9456298,117.4367571
140001823,,10370 ARLINGTON AVE ,RIVERSIDE,XXXXX,CA,33.9461242,117.4794048
140047523,,3321 W CENTURY BLVD ,INGLEWOOD,XXXXX,CA,33.94671,118.329964
140042889,,3321 WEST CENTURY BLVD ,INGLEWOOD,XXXXX,CA,33.94671,118.329964
140005134,,15214 WHITTIER BLVD ,WHITTIER,XXXXX,CA,33.9467916,118.0025976
140013111,,3333 ARLINGTON AVE ,RIVERSIDE,XXXXX,CA,33.9479466,117.3823956
140021693,,5700 FIRESTONE BLVD ,SOUTH GATE,XXXXX,CA,33.9480794,118.1684027
